Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,2390.3,2393.9,2375.65,2378.3,5615395.0,553500000.0
2015-01-02,2380.5,2401.15,2376.3,2382.1,5924464.0,945400000.0000001
2015-01-05,2382.35,2396.5,2371.4,2376.3,6266560.0,927900000.0000001
2015-01-06,2360.5,2363.05,2272.1,2294.7,9441028.0,1230900000.0
2015-01-07,2294.95,2304.3,2258.55,2275.7,6871487.0,1105000000.0
2015-01-08,2289.15,2298.55,2274.05,2285.7,7265921.0,1211400000.0
2015-01-09,2306.2,2306.2,2260.85,2276.65,8898220.0,1343600000.0000002
2015-01-12,2278.6,2301.45,2258.6,2297.55,7567245.0,1481399999.9999998
2015-01-13,2304.85,2319.4,2288.25,2293.9,8887168.0,1104200000.0
2015-01-14,2298.85,2304.5,2267.0,2275.9,14184621.0,1262200000.0
2015-01-15,2295.7,2320.9,2285.2,2310.65,19684987.0,2126699999.9999998
2015-01-16,2318.4,2413.4,2314.05,2403.75,22606200.0,3729300000.0
2015-01-19,2417.4,2427.6,2390.75,2397.85,13868212.0,1345500000.0
2015-01-20,2402.45,2431.65,2394.9,2425.3,12802798.0,1330400000.0
2015-01-21,2435.9,2462.0,2377.95,2394.05,26991154.0,4621300000.0
2015-01-22,2400.15,2420.3,2386.15,2410.7,13688724.0,2194900000.0
2015-01-23,2433.95,2433.95,2395.05,2408.95,10184340.0,1440700000.0
2015-01-27,2398.0,2413.55,2383.4,2408.8,10324439.0,1344400000.0
2015-01-28,2397.4,2418.7,2387.4,2395.3,10693122.0,2244600000.0
2015-01-29,2400.95,2401.5,2379.9,2391.95,10121818.0,2227500000.0
2015-01-30,2394.55,2394.55,2339.3,2357.35,9709760.0,1782300000.0
2015-02-02,2356.55,2357.7,2331.1,2345.45,7240913.0,1040900000.0
2015-02-03,2350.5,2365.65,2341.0,2347.2,5735863.0,892200000.0
2015-02-04,2360.7,2361.05,2305.45,2316.5,7498142.0,1350400000.0
2015-02-05,2316.4,2335.75,2286.3,2295.0,8389319.0,2138100000.0
2015-02-06,2295.4,2318.9,2267.5,2275.9,7601101.0,1949199999.9999998
2015-02-09,2281.6,2285.0,2245.7,2270.15,7915363.0,1967300000.0
2015-02-10,2254.65,2269.85,2238.6,2264.7,13864155.0,1509100000.0
2015-02-11,2272.45,2273.3,2231.5,2255.5,7528974.0,1716200000.0
2015-02-12,2271.65,2324.25,2271.65,2316.15,12760198.0,2874400000.0
2015-02-13,2325.4,2348.3,2320.6,2338.9,9832223.0,1519199999.9999998
2015-02-16,2350.25,2350.55,2318.0,2322.05,5360972.0,864300000.0000001
2015-02-18,2322.4,2329.65,2297.1,2322.95,6964637.0,1170700000.0
2015-02-19,2330.55,2339.7,2292.3,2305.15,4378171.0,793500000.0
2015-02-20,2306.15,2326.95,2304.6,2316.85,4878353.0,814800000.0
2015-02-23,2317.55,2331.0,2258.35,2266.9,5911681.0,970500000.0
2015-02-24,2270.55,2301.9,2263.75,2295.6,8191867.0,1104200000.0
2015-02-25,2298.45,2299.3,2265.05,2270.8,5055855.0,1003700000.0
2015-02-26,2271.35,2279.6,2231.45,2239.3,5073226.0,1130700000.0
2015-02-27,2248.45,2257.65,2231.1,2246.65,9554703.0,2242900000.0
2015-02-28,2257.05,2262.3,2214.55,2231.45,3620574.0,606100000.0
2015-03-02,2240.2,2249.6,2217.95,2229.7,6817629.0,1700100000.0
2015-03-03,2246.4,2265.2,2232.75,2259.5,7490519.0,2017800000.0
2015-03-04,2272.75,2273.25,2224.1,2226.75,4502401.0,765100000.0
2015-03-05,2229.9,2247.05,2200.25,2240.0,5089227.0,965000000.0
2015-03-09,2229.25,2244.1,2200.15,2207.05,3937316.0,964400000.0
2015-03-10,2196.0,2237.35,2196.0,2218.9,3486266.0,837900000.0000001
2015-03-11,2219.85,2224.2,2198.65,2215.8,3891179.0,946600000.0
2015-03-12,2222.3,2256.85,2222.3,2251.55,7915185.0,1058000000.0
2015-03-13,2263.7,2264.6,2201.7,2207.8,4985167.0,800100000.0
2015-03-16,2208.9,2242.4,2195.4,2232.15,4774824.0,959599999.9999999
2015-03-17,2235.45,2269.75,2225.85,2258.75,6101409.0,1088700000.0
2015-03-18,2259.9,2312.15,2250.55,2292.0,7021199.0,1406100000.0000002
2015-03-19,2288.7,2310.1,2255.7,2261.7,6486821.0,1000000000.0
2015-03-20,2262.35,2262.35,2200.95,2215.3,6265614.0,1401800000.0
2015-03-23,2228.95,2243.5,2186.05,2197.45,4580213.0,993300000.0
2015-03-24,2194.8,2216.9,2184.7,2205.4,4104122.0,548400000.0
2015-03-25,2202.35,2212.45,2178.3,2181.7,4525985.0,769700000.0
2015-03-26,2171.9,2190.25,2146.35,2154.1,4476451.0,1161400000.0
2015-03-27,2161.6,2164.1,2115.15,2138.25,6174507.0,1357100000.0
2015-03-30,2147.55,2186.6,2146.35,2178.6,3450683.0,745600000.0
2015-03-31,2188.95,2195.15,2167.6,2188.9,4415630.0,822700000.0
2015-04-01,2182.6,2207.9,2182.6,2204.0,5544491.0,1516600000.0
2015-04-06,2202.0,2208.45,2164.55,2174.95,6177529.0,1902700000.0
2015-04-07,2184.25,2184.3,2153.85,2168.75,5823807.0,1525700000.0
2015-04-08,2171.4,2192.35,2167.15,2176.35,9474081.0,2313400000.0
2015-04-09,2191.6,2255.1,2189.5,2251.7,10953520.0,2026900000.0
2015-04-10,2251.8,2262.35,2233.3,2242.4,25148114.0,2125400000.0
2015-04-13,2257.7,2257.7,2234.3,2244.2,11904772.0,1611300000.0
2015-04-15,2241.75,2268.3,2231.15,2238.35,56305762.0,3437500000.0
